ScriptureReferenceBookChapterVersePost [0]: Genesis 3:8 | Genesis|3|8|||| | SonInLaw: 2.
Scripture Reference Book Chapter Verse PrePost Statement [4]:  SELECT 4 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=12 AND verseId=18 
Scripture Reference Book Chapter Verse PrePost Condition [5]: bookId=1 AND chapterId=16 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [5]:  SELECT 5 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=16 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [6]: bookId=1 AND chapterId=18 AND verseId=11
Scripture Reference Book Chapter Verse PrePost Statement [6]:  SELECT 6 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=18 AND verseId=11 
Scripture Reference Book Chapter Verse PrePost Condition [7]: bookId=1 AND chapterId=18 AND verseId=27
Scripture Reference Book Chapter Verse PrePost Statement [7]:  SELECT 7 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=18 AND verseId=27 
Scripture Reference Book Chapter Verse PrePost Condition [8]: bookId=1 AND chapterId=21 AND verseId=2
Scripture Reference Book Chapter Verse PrePost Statement [8]:  SELECT 8 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=21 AND verseId=2 
Scripture Reference Book Chapter Verse PrePost Condition [9]: bookId=1 AND chapterId=23 AND verseId=4
Scripture Reference Book Chapter Verse PrePost Statement [9]:  SELECT 9 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=23 AND verseId=4 
Scripture Reference Book Chapter Verse PrePost Condition [10]: bookId=1 AND chapterId=24 AND verseId=34
Scripture Reference Book Chapter Verse PrePost Statement [10]:  SELECT 10 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=24 AND verseId=34 
Scripture Reference Book Chapter Verse PrePost Condition [11]: bookId=1 AND chapterId=25 AND verseId=32
Scripture Reference Book Chapter Verse PrePost Statement [11]:  SELECT 11 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=25 AND verseId=32 
Scripture Reference Book Chapter Verse PrePost Condition [12]: bookId=1 AND chapterId=27 AND verseId=11
Scripture Reference Book Chapter Verse PrePost Statement [12]:  SELECT 12 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=27 AND verseId=11 
Scripture Reference Book Chapter Verse PrePost Condition [13]: bookId=1 AND chapterId=35 AND verseId=12
Scripture Reference Book Chapter Verse PrePost Statement [13]:  SELECT 13 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=35 AND verseId=12 
Scripture Reference Book Chapter Verse PrePost Condition [14]: bookId=1 AND chapterId=35 AND verseId=27
Scripture Reference Book Chapter Verse PrePost Statement [14]:  SELECT 14 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=35 AND verseId=27 
Scripture Reference Book Chapter Verse PrePost Condition [15]: bookId=1 AND chapterId=48 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [15]:  SELECT 15 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=48 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [16]: bookId=1 AND chapterId=48 AND verseId=16
Scripture Reference Book Chapter Verse PrePost Statement [16]:  SELECT 16 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=48 AND verseId=16 
Scripture Reference Book Chapter Verse PrePost Condition [17]: bookId=1 AND chapterId=49 AND verseId=31
Scripture Reference Book Chapter Verse PrePost Statement [17]:  SELECT 17 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=1 AND chapterId=49 AND verseId=31 
Scripture Reference Book Chapter Verse PrePost Condition [18]: bookId=2 AND chapterId=15 AND verseId=21
Scripture Reference Book Chapter Verse PrePost Statement [18]:  SELECT 18 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=2 AND chapterId=15 AND verseId=21 
Scripture Reference Book Chapter Verse PrePost Condition [19]: bookId=2 AND chapterId=20 AND verseId=5
Scripture Reference Book Chapter Verse PrePost Statement [19]:  SELECT 19 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=2 AND chapterId=20 AND verseId=5 
Scripture Reference Book Chapter Verse PrePost Condition [20]: bookId=4 AND chapterId=12 AND verseId=1
Scripture Reference Book Chapter Verse PrePost Statement [20]:  SELECT 20 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=4 AND chapterId=12 AND verseId=1 
Scripture Reference Book Chapter Verse PrePost Condition [21]: bookId=4 AND chapterId=22 AND verseId=18
Scripture Reference Book Chapter Verse PrePost Statement [21]:  SELECT 21 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=4 AND chapterId=22 AND verseId=18 
Scripture Reference Book Chapter Verse PrePost Condition [22]: bookId=4 AND chapterId=22 AND verseId=20
Scripture Reference Book Chapter Verse PrePost Statement [22]:  SELECT 22 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=4 AND chapterId=22 AND verseId=20 
Scripture Reference Book Chapter Verse PrePost Condition [23]: bookId=4 AND chapterId=23 AND verseId=26
Scripture Reference Book Chapter Verse PrePost Statement [23]:  SELECT 23 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=4 AND chapterId=23 AND verseId=26 
Scripture Reference Book Chapter Verse PrePost Condition [24]: bookId=4 AND chapterId=26 AND verseId=59
Scripture Reference Book Chapter Verse PrePost Statement [24]:  SELECT 24 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=4 AND chapterId=26 AND verseId=59 
Scripture Reference Book Chapter Verse PrePost Condition [25]: bookId=4 AND chapterId=31 AND verseId=8
Scripture Reference Book Chapter Verse PrePost Statement [25]:  SELECT 25 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=4 AND chapterId=31 AND verseId=8 
Scripture Reference Book Chapter Verse PrePost Condition [26]: bookId=5 AND chapterId=5 AND verseId=9
Scripture Reference Book Chapter Verse PrePost Statement [26]:  SELECT 26 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=5 AND chapterId=5 AND verseId=9 
Scripture Reference Book Chapter Verse PrePost Condition [27]: bookId=5 AND chapterId=31 AND verseId=2
Scripture Reference Book Chapter Verse PrePost Statement [27]:  SELECT 27 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=5 AND chapterId=31 AND verseId=2 
Scripture Reference Book Chapter Verse PrePost Condition [28]: bookId=6 AND chapterId=13 AND verseId=22
Scripture Reference Book Chapter Verse PrePost Statement [28]:  SELECT 28 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=6 AND chapterId=13 AND verseId=22 
Scripture Reference Book Chapter Verse PrePost Condition [29]: bookId=6 AND chapterId=14 AND verseId=11
Scripture Reference Book Chapter Verse PrePost Statement [29]:  SELECT 29 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=6 AND chapterId=14 AND verseId=11 
Scripture Reference Book Chapter Verse PrePost Condition [30]: bookId=6 AND chapterId=17 AND verseId=11
Scripture Reference Book Chapter Verse PrePost Statement [30]:  SELECT 30 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=6 AND chapterId=17 AND verseId=11 
Scripture Reference Book Chapter Verse PrePost Condition [31]: bookId=6 AND chapterId=17 AND verseId=14
Scripture Reference Book Chapter Verse PrePost Statement [31]:  SELECT 31 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=6 AND chapterId=17 AND verseId=14 
Scripture Reference Book Chapter Verse PrePost Condition [32]: bookId=7 AND chapterId=1 AND verseId=27
Scripture Reference Book Chapter Verse PrePost Statement [32]:  SELECT 32 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=7 AND chapterId=1 AND verseId=27 
Scripture Reference Book Chapter Verse PrePost Condition [33]: bookId=7 AND chapterId=17 AND verseId=9
Scripture Reference Book Chapter Verse PrePost Statement [33]:  SELECT 33 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=7 AND chapterId=17 AND verseId=9 
Scripture Reference Book Chapter Verse PrePost Condition [34]: bookId=8 AND chapterId=2 AND verseId=10
Scripture Reference Book Chapter Verse PrePost Statement [34]:  SELECT 34 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=8 AND chapterId=2 AND verseId=10 
Scripture Reference Book Chapter Verse PrePost Condition [35]: bookId=8 AND chapterId=4 AND verseId=4
Scripture Reference Book Chapter Verse PrePost Statement [35]:  SELECT 35 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=8 AND chapterId=4 AND verseId=4 
Scripture Reference Book Chapter Verse PrePost Condition [36]: bookId=9 AND chapterId=1 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [36]:  SELECT 36 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=9 AND chapterId=1 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [37]: bookId=9 AND chapterId=18 AND verseId=23
Scripture Reference Book Chapter Verse PrePost Statement [37]:  SELECT 37 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=9 AND chapterId=18 AND verseId=23 
Scripture Reference Book Chapter Verse PrePost Condition [38]: bookId=9 AND chapterId=30 AND verseId=13
Scripture Reference Book Chapter Verse PrePost Statement [38]:  SELECT 38 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=9 AND chapterId=30 AND verseId=13 
Scripture Reference Book Chapter Verse PrePost Condition [39]: bookId=10 AND chapterId=1 AND verseId=8
Scripture Reference Book Chapter Verse PrePost Statement [39]:  SELECT 39 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=10 AND chapterId=1 AND verseId=8 
Scripture Reference Book Chapter Verse PrePost Condition [40]: bookId=11 AND chapterId=5 AND verseId=12
Scripture Reference Book Chapter Verse PrePost Statement [40]:  SELECT 40 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=5 AND verseId=12 
Scripture Reference Book Chapter Verse PrePost Condition [41]: bookId=11 AND chapterId=11 AND verseId=40
Scripture Reference Book Chapter Verse PrePost Statement [41]:  SELECT 41 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=11 AND verseId=40 
Scripture Reference Book Chapter Verse PrePost Condition [42]: bookId=11 AND chapterId=12 AND verseId=3
Scripture Reference Book Chapter Verse PrePost Statement [42]:  SELECT 42 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=12 AND verseId=3 
Scripture Reference Book Chapter Verse PrePost Condition [43]: bookId=11 AND chapterId=12 AND verseId=12
Scripture Reference Book Chapter Verse PrePost Statement [43]:  SELECT 43 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=12 AND verseId=12 
Scripture Reference Book Chapter Verse PrePost Condition [44]: bookId=11 AND chapterId=13 AND verseId=18
Scripture Reference Book Chapter Verse PrePost Statement [44]:  SELECT 44 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=13 AND verseId=18 
Scripture Reference Book Chapter Verse PrePost Condition [45]: bookId=11 AND chapterId=14 AND verseId=30
Scripture Reference Book Chapter Verse PrePost Statement [45]:  SELECT 45 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=14 AND verseId=30 
Scripture Reference Book Chapter Verse PrePost Condition [46]: bookId=11 AND chapterId=15 AND verseId=6
Scripture Reference Book Chapter Verse PrePost Statement [46]:  SELECT 46 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=15 AND verseId=6 
Scripture Reference Book Chapter Verse PrePost Condition [47]: bookId=11 AND chapterId=15 AND verseId=7
Scripture Reference Book Chapter Verse PrePost Statement [47]:  SELECT 47 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=15 AND verseId=7 
Scripture Reference Book Chapter Verse PrePost Condition [48]: bookId=11 AND chapterId=15 AND verseId=29
Scripture Reference Book Chapter Verse PrePost Statement [48]:  SELECT 48 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=15 AND verseId=29 
Scripture Reference Book Chapter Verse PrePost Condition [49]: bookId=11 AND chapterId=22 AND verseId=4
Scripture Reference Book Chapter Verse PrePost Statement [49]:  SELECT 49 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=11 AND chapterId=22 AND verseId=4 
Scripture Reference Book Chapter Verse PrePost Condition [50]: bookId=12 AND chapterId=3 AND verseId=7
Scripture Reference Book Chapter Verse PrePost Statement [50]:  SELECT 50 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=12 AND chapterId=3 AND verseId=7 
Scripture Reference Book Chapter Verse PrePost Condition [51]: bookId=13 AND chapterId=1 AND verseId=21
Scripture Reference Book Chapter Verse PrePost Statement [51]:  SELECT 51 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=13 AND chapterId=1 AND verseId=21 
Scripture Reference Book Chapter Verse PrePost Condition [52]: bookId=13 AND chapterId=3 AND verseId=18
Scripture Reference Book Chapter Verse PrePost Statement [52]:  SELECT 52 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=13 AND chapterId=3 AND verseId=18 
Scripture Reference Book Chapter Verse PrePost Condition [53]: bookId=13 AND chapterId=7 AND verseId=16
Scripture Reference Book Chapter Verse PrePost Statement [53]:  SELECT 53 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=13 AND chapterId=7 AND verseId=16 
Scripture Reference Book Chapter Verse PrePost Condition [54]: bookId=14 AND chapterId=2 AND verseId=9
Scripture Reference Book Chapter Verse PrePost Statement [54]:  SELECT 54 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=2 AND verseId=9 
Scripture Reference Book Chapter Verse PrePost Condition [55]: bookId=14 AND chapterId=10 AND verseId=3
Scripture Reference Book Chapter Verse PrePost Statement [55]:  SELECT 55 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=10 AND verseId=3 
Scripture Reference Book Chapter Verse PrePost Condition [56]: bookId=14 AND chapterId=10 AND verseId=12
Scripture Reference Book Chapter Verse PrePost Statement [56]:  SELECT 56 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=10 AND verseId=12 
Scripture Reference Book Chapter Verse PrePost Condition [57]: bookId=14 AND chapterId=11 AND verseId=14
Scripture Reference Book Chapter Verse PrePost Statement [57]:  SELECT 57 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=11 AND verseId=14 
Scripture Reference Book Chapter Verse PrePost Condition [58]: bookId=14 AND chapterId=12 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [58]:  SELECT 58 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=12 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [59]: bookId=14 AND chapterId=13 AND verseId=3
Scripture Reference Book Chapter Verse PrePost Statement [59]:  SELECT 59 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=13 AND verseId=3 
Scripture Reference Book Chapter Verse PrePost Condition [60]: bookId=14 AND chapterId=13 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [60]:  SELECT 60 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=13 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [61]: bookId=14 AND chapterId=18 AND verseId=3
Scripture Reference Book Chapter Verse PrePost Statement [61]:  SELECT 61 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=18 AND verseId=3 
Scripture Reference Book Chapter Verse PrePost Condition [62]: bookId=14 AND chapterId=22 AND verseId=7
Scripture Reference Book Chapter Verse PrePost Statement [62]:  SELECT 62 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=14 AND chapterId=22 AND verseId=7 
Scripture Reference Book Chapter Verse PrePost Condition [63]: bookId=15 AND chapterId=9 AND verseId=6
Scripture Reference Book Chapter Verse PrePost Statement [63]:  SELECT 63 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=15 AND chapterId=9 AND verseId=6 
Scripture Reference Book Chapter Verse PrePost Condition [64]: bookId=15 AND chapterId=10 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [64]:  SELECT 64 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=15 AND chapterId=10 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [65]: bookId=16 AND chapterId=13 AND verseId=2
Scripture Reference Book Chapter Verse PrePost Statement [65]:  SELECT 65 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=16 AND chapterId=13 AND verseId=2 
Scripture Reference Book Chapter Verse PrePost Condition [66]: bookId=18 AND chapterId=7 AND verseId=20
Scripture Reference Book Chapter Verse PrePost Statement [66]:  SELECT 66 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=18 AND chapterId=7 AND verseId=20 
Scripture Reference Book Chapter Verse PrePost Condition [67]: bookId=18 AND chapterId=9 AND verseId=28
Scripture Reference Book Chapter Verse PrePost Statement [67]:  SELECT 67 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=18 AND chapterId=9 AND verseId=28 
Scripture Reference Book Chapter Verse PrePost Condition [68]: bookId=18 AND chapterId=12 AND verseId=4
Scripture Reference Book Chapter Verse PrePost Statement [68]:  SELECT 68 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=18 AND chapterId=12 AND verseId=4 
Scripture Reference Book Chapter Verse PrePost Condition [69]: bookId=18 AND chapterId=19 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [69]:  SELECT 69 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=18 AND chapterId=19 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [70]: bookId=18 AND chapterId=21 AND verseId=6
Scripture Reference Book Chapter Verse PrePost Statement [70]:  SELECT 70 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=18 AND chapterId=21 AND verseId=6 
Scripture Reference Book Chapter Verse PrePost Condition [71]: bookId=18 AND chapterId=23 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [71]:  SELECT 71 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=18 AND chapterId=23 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [72]: bookId=18 AND chapterId=30 AND verseId=29
Scripture Reference Book Chapter Verse PrePost Statement [72]:  SELECT 72 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=18 AND chapterId=30 AND verseId=29 
Scripture Reference Book Chapter Verse PrePost Condition [73]: bookId=18 AND chapterId=33 AND verseId=6
Scripture Reference Book Chapter Verse PrePost Statement [73]:  SELECT 73 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=18 AND chapterId=33 AND verseId=6 
Scripture Reference Book Chapter Verse PrePost Condition [74]: bookId=19 AND chapterId=22 AND verseId=6
Scripture Reference Book Chapter Verse PrePost Statement [74]:  SELECT 74 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=22 AND verseId=6 
Scripture Reference Book Chapter Verse PrePost Condition [75]: bookId=19 AND chapterId=39 AND verseId=12
Scripture Reference Book Chapter Verse PrePost Statement [75]:  SELECT 75 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=39 AND verseId=12 
Scripture Reference Book Chapter Verse PrePost Condition [76]: bookId=19 AND chapterId=56 AND verseId=3
Scripture Reference Book Chapter Verse PrePost Statement [76]:  SELECT 76 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=56 AND verseId=3 
Scripture Reference Book Chapter Verse PrePost Condition [77]: bookId=19 AND chapterId=71 AND verseId=7
Scripture Reference Book Chapter Verse PrePost Statement [77]:  SELECT 77 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=71 AND verseId=7 
Scripture Reference Book Chapter Verse PrePost Condition [78]: bookId=19 AND chapterId=88 AND verseId=4
Scripture Reference Book Chapter Verse PrePost Statement [78]:  SELECT 78 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=88 AND verseId=4 
Scripture Reference Book Chapter Verse PrePost Condition [79]: bookId=19 AND chapterId=88 AND verseId=15
Scripture Reference Book Chapter Verse PrePost Statement [79]:  SELECT 79 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=88 AND verseId=15 
Scripture Reference Book Chapter Verse PrePost Condition [80]: bookId=19 AND chapterId=102 AND verseId=7
Scripture Reference Book Chapter Verse PrePost Statement [80]:  SELECT 80 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=102 AND verseId=7 
Scripture Reference Book Chapter Verse PrePost Condition [81]: bookId=19 AND chapterId=119 AND verseId=19
Scripture Reference Book Chapter Verse PrePost Statement [81]:  SELECT 81 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=119 AND verseId=19 
Scripture Reference Book Chapter Verse PrePost Condition [82]: bookId=19 AND chapterId=119 AND verseId=63
Scripture Reference Book Chapter Verse PrePost Statement [82]:  SELECT 82 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=119 AND verseId=63 
Scripture Reference Book Chapter Verse PrePost Condition [83]: bookId=19 AND chapterId=119 AND verseId=107
Scripture Reference Book Chapter Verse PrePost Statement [83]:  SELECT 83 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=119 AND verseId=107 
Scripture Reference Book Chapter Verse PrePost Condition [84]: bookId=19 AND chapterId=119 AND verseId=120
Scripture Reference Book Chapter Verse PrePost Statement [84]:  SELECT 84 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=19 AND chapterId=119 AND verseId=120 
Scripture Reference Book Chapter Verse PrePost Condition [85]: bookId=22 AND chapterId=8 AND verseId=10
Scripture Reference Book Chapter Verse PrePost Statement [85]:  SELECT 85 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=22 AND chapterId=8 AND verseId=10 
Scripture Reference Book Chapter Verse PrePost Condition [86]: bookId=23 AND chapterId=6 AND verseId=5
Scripture Reference Book Chapter Verse PrePost Statement [86]:  SELECT 86 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=23 AND chapterId=6 AND verseId=5 
Scripture Reference Book Chapter Verse PrePost Condition [87]: bookId=23 AND chapterId=56 AND verseId=3
Scripture Reference Book Chapter Verse PrePost Statement [87]:  SELECT 87 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=23 AND chapterId=56 AND verseId=3 
Scripture Reference Book Chapter Verse PrePost Condition [88]: bookId=24 AND chapterId=1 AND verseId=6
Scripture Reference Book Chapter Verse PrePost Statement [88]:  SELECT 88 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=24 AND chapterId=1 AND verseId=6 
Scripture Reference Book Chapter Verse PrePost Condition [89]: bookId=24 AND chapterId=1 AND verseId=7
Scripture Reference Book Chapter Verse PrePost Statement [89]:  SELECT 89 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=24 AND chapterId=1 AND verseId=7 
Scripture Reference Book Chapter Verse PrePost Condition [90]: bookId=24 AND chapterId=21 AND verseId=13
Scripture Reference Book Chapter Verse PrePost Statement [90]:  SELECT 90 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=24 AND chapterId=21 AND verseId=13 
Scripture Reference Book Chapter Verse PrePost Condition [91]: bookId=24 AND chapterId=23 AND verseId=30
Scripture Reference Book Chapter Verse PrePost Statement [91]:  SELECT 91 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=24 AND chapterId=23 AND verseId=30 
Scripture Reference Book Chapter Verse PrePost Condition [92]: bookId=24 AND chapterId=23 AND verseId=31
Scripture Reference Book Chapter Verse PrePost Statement [92]:  SELECT 92 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=24 AND chapterId=23 AND verseId=31 
Scripture Reference Book Chapter Verse PrePost Condition [93]: bookId=24 AND chapterId=23 AND verseId=32
Scripture Reference Book Chapter Verse PrePost Statement [93]:  SELECT 93 As resultSet, bookId, chapterId, verseId, verseText, verseIdSequence FROM KJV (NoLock) WHERE bookId=24 AND chapterId=23 AND verseId=32 
